功能名稱,基本款 - 功能說明（至少要收這些錢）,進階版 - 功能說明（這些全部要加錢）,價格,工時（以單人做）,說明人
商品管理,"購物網站的核心。至少要有個後台讓人把商品上架。
上架的時候，可以上傳圖片、輸入商品名稱、說明、價格。
上架之後，可以視需求修改商品內容，或是將商品下架。","只有商品名稱、說明、價格這幾個欄位嗎？
尺寸、顏色、產地、風格、分類呢？
一個商品只有一張圖片嗎？還是可能會有多張？
圖片在前台如何顯示？要放很整齊嗎？還是有擺就好？","20,000 ~ 140,000",4天 ~ 28天,阿川
線上付款,"購物網站的核心。顧客線上訂購之後，讓他到付款頁面，
請他輸入信用卡號，接著進行扣款。","只有信用卡付費嗎？有沒有分期付款？
ATM付款呢？超商代碼繳費？貨到付款？
海外客戶怎麼處理？PayPal嗎？","25,000 ~ 175,000",5天 ~ 35天,阿川
頁面上的圖片管理,"購物網站的首頁上方要放個模特兒的漂亮圖片。
這張圖片應該要能夠在後台由工作人員修改。","只有首頁上方那一張宣傳圖片嗎？其他頁面的上方？各種分類的上方？
網站的底部圖片要能夠改嗎？各圖片在後台能改就好嗎？
還是要有統一的圖片管理與選擇介面？","10,000 ~ 70,000",2天 ~ 14天,阿川
商品狀態管理,"商品至少有「已建立」、「已上架」、「已售完」、
「已下架」等狀態。需要允許工作人員在後台設定、
根據銷售情況自動調整。
這會決定顧客在前台能否看到商品、以及如何顯示。","每件商品都是限量商品？還是每件都有大量庫存？
需要分尺寸分狀態嗎？如果每件商品都是限量或是只有一份，
需不需要「結帳中」的商品狀態？
然後客戶沒完成結帳就將狀態改回「已上架」？","10,000 ~ 70,000",4天 ~ 28天,阿川
消費滿額折扣,消費達到特定金額，就給予特定成數的折扣。,"只有成數的折扣嗎？可以在後台設定成固定金額的折扣嗎？
例：打九折、折100元？","5,000 ~ 35,000",1天 ~ 7天,阿川
促銷期間打折,從特定日期開始，到特定日期結束之間，給予消費折扣。,"一設定就開始了嗎？需要設定不同促銷期間的開始與結束時間嗎？
只要設定當前的促銷方案就好？
還是要能夠預先建好未來好幾個檔期的促銷方案？","5,000 ~ 35,000",1天 ~ 7天,阿川
商品分享到社群網站,商品頁面有一個Facebook按讚與分享按鈕。,需要Twitter分享按鈕嗎？需要Google+分享按鈕嗎？,"1,000 ~ 7,000",1天 ~ 2天,阿川
商品推薦,顧客在瀏覽商品時，推薦一些其他商品給他看。,"推薦的原理是什麼？隨機丟幾個最新商品可以嗎？
根據其他顧客的購物紀錄，判斷推薦商品嗎？
要做到多複雜？","5,000 ~ 35,000",1天 ~ 7天,阿川
滿額免運費,當購物總額達到特定金額，結帳時就不收運費。,"只有完全不收運費這個條件嗎？到達一半額度有沒有運費折半？
所有商品都適用這規則嗎？所有付款方式都適用這規則嗎？還是都有差？","5,000 ~ 35,000",1天 ~ 7天,阿川
網頁設計,"網站就算能用，也不能長太醜。
至少要找設計師設計過。","找個平面設計師畫圖就可以嗎？
還是要找專門的網頁設計師？
你知道頂尖的設計師跟普通的設計師收費的差異嗎？","30,000 ~ 210,000",6天 ~ 42天,阿川
購物車,使用者可以將商品加入購物車，之後一次將多筆商品結帳。,"購物車需要即時呈現目前總金額嗎？
加入購物車時重新整理整個頁面可以嗎？需要動態效果嗎？
購物車內要有移除商品的功能嗎？","5,000 ~ 35,000",1天 ~ 7天,阿川
新聞/部落格管理,可以在後台寫文章、發佈最新消息、新聞的部落格功能。,"輸入標題跟內文而已嗎？文章要封面圖片嗎？內文需要能調格式嗎？
內文能支援圖片嗎？需要多個帳號寫文章嗎？","20,000 ~ 140,000",4天 ~ 28天,阿川
商品搜尋功能,有欄位可以讓使用者輸入關鍵字，根據關鍵字搜尋商品。,"直接用 Google 自訂搜尋可以嗎？自製的話，做字串比對就好了嗎？
還是要支援模糊搜尋？搜尋功能要完整到什麼程度？","5,000 ~ 35,000",1天 ~ 7天,阿川
購物分類篩選/排序,顧客能根據分類、價格等欄位篩選、排序商品顯示。,"有幾個欄位要支援篩選排序？只能以一個欄位篩選嗎？
還是能一次用多個欄位？每次篩選都重新整理頁面可以嗎？
還是要很流暢、不換頁？","10,000 ~ 70,000",2天 ~ 14天,阿川