名稱,網址,說明,地點
nazka納斯卡有限公司,https://www.nazka.me/,提供各種網站架設，整合網路行銷、SEO優化、SEM搜尋行銷、網路行銷顧問、創業顧問。,台北
開始設計,https://www.xuedesign.tw/,提供網頁設計、  網站製作  及  平面文宣  等整合性設計服務 。,台北
ARCH, https://archspace.com.tw/, 新創公司技術顧問，行動裝置APP設計，客製化系統建置，有多款問世當紅產品開發經驗, 台北
驣星軟體,http://www.attenzionestar.com.tw/,技術非常好，有自己研發的即時通訊、購物網站、直播技術，團隊成員也都經驗豐富,高雄
Fontech,http://www.fontech.com.tw/,We create delightful experiences with mobile and web technologies.,台北
得寬,http://www.theqwan.com/,我們擅長規劃與開發網路/行動應用服務，也提供客製化社群整合方案。,台北
阿腸,https://achang.tw/,WordPress 網頁設計、部落格搬家、中華電信主機租用,台北
米洛科技,https://www.webtech.com.tw/,設計匠人 + 多元版型組合 + 持續強化的系統功能 + 專案管理流程，18天快速上線，網站作到好，只要7999元/年,台中
brocas,http://brocas.com.tw/,戰略創新、設計服務、洞察與遠見、應用創新,台北
棨裕資訊,https://www.chiyu-it.com,提供網頁設計、平面設計以及行銷規劃等服務內容（You Decide The Best - And We Provide The Best）,台南
資雲數位,http://www.infocloud.com.tw,".net MVC base , Native App , Web App, Azure Cloud Solution.",高雄
我樂活科技,http://www.worklohas.com,專注於軟體客製化開發，建置 Web / APP / 企業內部系統，在即時輿情、商情蒐集、金流整合、知識管理、文件管理、搜尋引擎、雲端服務等領域有豐富的經驗。,台北
哲煜科技,https://twjoin.com,形象官網 / APP設計 / 軟體專案開發 / ERP系統開發 / 電商平台 / ASP.NET開發 / Kinet體感互動開發 / AR / 關鍵字 / 行銷活動企劃 / 金流簡訊串接 / 域名註冊 / 主機代管 等服務,台北
富藍格國際,http://frankish.com.tw/,憑藉我們跨國及多領域的背景，運用最新的技術為您打造最好的網站,台北
Choicee喬義司,http://www.choice-design.com.tw/index.html,網頁設計/網路行銷/程式開發/APP開發/諮詢服務,台中
尚頂網頁設計,https://www.sdweb.com.tw,RWD網頁設計/ RWD購物車網站/ SEO搜尋優化 / Facebook廣告操作/ Y/G關鍵字廣告 / 企業CIS形象建立,台北
柯思科技,http://www.cctech-support.com/,知名形象官網、大型電商建置經驗、APP建置、跨系統串接、軟硬體整合,新竹、台北
數位玩家,http://www.geekers.tw,"南台灣專業客製化品牌接案公司,榮獲數次媒體採訪,可依據客戶需求打造專屬的網站/App,成立六年為南台灣官方單位最信任的委外公司,也是您能安心託付的最佳對象","台北,台中,高雄"
玄賦數位整合,http://www.smartforce.com.tw,物聯網開發與客製化ERP開發，針對物聯網開發有硬體/韌體/APP/SERVER/一條龍服務。針對客製化ERP客戶有基因檢測公司，留遊學專業諮詢公司等。,台北
堯舜設計有限公司,http://www.misadesign.tw,開發過政府機關、學校網站系統，以及上市櫃公司企業形象網站、電傷平台，完整前後台建置、伺服器支援服務等。另提供品牌形象設計、平面設計專業服務。,台北、桃園
振作國際,https://www.wakeup.com.tw/,Wordpress客製設計/客製系統開發/整合行銷規劃，振作你的網頁，在這普遍有網站的時代，怎麼脫穎而出，歡迎找我們聊聊！,
品科技企業社,https://www.pintech.com.tw/,承接國內外大型企業系統與APP專案、公家機關合作案..等。以高規格與專業態度服務每一個客戶，如誠品綠圈圈APP， 遠雄節電系統， 與金流娛樂APP。,台中
新點子空間,https://newideas8.wixsite.com/space,我們致力於網站建置、APP開發、數位行銷等領域。速度與品質是我們的堅持，費用合理cp值高。,台中
達康數位科技,http://www.wisekernel.com.tw,專門客製 政府與大公司網站與管理系統，採用Java& .net MVC技術，後台管理系統建置與整合經驗非常豐富。,台北
元祺資訊,http://www.mynet.com.tw/,極速架站、客製SaaS系統、金流串接、商用網站開發,台北、桃園
路老闆有限公司,https://boss-louis.tw/,客製化形象/購物網頁設計、主機架設管理、SEO資訊&行銷,台北
川流資訊網頁設計,https://web5000.com.tw,"網頁設計、APP設計、SEO、SEM  超過3,500家顧客認證",台中
宙思設計,https://www.zeusdesign.com.tw/,宙思設計團隊，服務廣泛，凡舉網頁、平面、包裝、印刷及攝影皆可製作。我們擁有各領域的人才，希望能將您的需求，以最完整的服務與最精湛的設計呈現給您。網頁擅長視覺設計、前端刻板、後端 PHP MySQL 資料處理。,新北
唯美數位科技,http://www.amazingwork.tw/,主要製作客製化、功能性高的網站，包括RWD、形象網站、購物網站、企業聯盟直銷平台等。不用套件網站，分工進行，效率極高！,台中
萊大資訊,https://www.lightda.io/,客製化RWD網站製作、跨平台系統串接，包括公司形象網站、電商購物網站、機票訂購、自行車客製等，從規劃、開發到部署維運都能提供服務，也提供代管虛擬主機、AWS系統架構規劃與架設等服務,台北
品禾全端網路,https://pnetwork.com.tw/,提供RWD網頁設計/ RWD購物車網站/ SEO架構優化/客製系統開發/網站、系統維護/整合行銷規劃，透過網路為您創造更多價值,台北