名稱,網址,支援功能,推薦人補充說明,費用
Wordpress,https://zh-tw.wordpress.com/,介紹頁、部落格,國內外最知名的架站平台之一，功能完整穩定，值得一看,免費版 0 元、個人版 $48 美元/年、進階版 $99 美元/年、商務版 $299 美元/年
Wix,https://www.wix.com/,介紹頁,注意最基礎的方案會有 Wix 的廣告,五種方案：$4.5 美元/月 ～ $24.5 美元/月
Weebly,https://www.weebly.com/?lang=zh_TW,介紹頁,注意網站部份中文翻譯內容有問題，使用時應多加留意,
Shopline,https://shopline.tw/,介紹頁、購物網站,電商DIY網路開店平台,"基本 NT$ 1,200 /月、高階 NT$ 2,300 /月、豪華 NT$ 4,600 /月"
91App,https://www.91app.com/,介紹頁、購物網站,介紹頁、APP、FB商店全通路開店服務，注意成交會抽成,"三種方案：NT$ 5,988 /年 ～ NT$ 199,900 /年"
Shopify,https://www.shopify.com/,介紹頁、購物網站,注意支付方式不適合台灣市場，主打海外消費者市場才考慮,三種方案：$29 美元/月、$79 美元/月、$299 美元/月
Strikingly,https://www.strikingly.com/,介紹頁,注意這會是一頁式網站,免費版 0 元、基本版 $12 美元/月、專業版 $20 美元/月
Squarespace,https://www.squarespace.com/,介紹頁,官網滿漂亮的，感覺很不錯,$22美元/月、$35美元/月
Cargo,https://2.cargocollective.com/,介紹頁、作品集,非常簡潔漂亮，主打幫設計師、攝影師、創意工作者架網站，此類案主必看,
速速建站,https://sususite.com,介紹頁,台灣本土的DIY架站平台，看起來還不錯,NT$ 480/月、NT$ 950/月
Meepshop,https://www.meepshop.com/,介紹頁、購物網站,台灣本土電商DIY網路開店平台,"NT$ 2,500/月、NT$ 6,000/月、NT$ 12,000/月"
一頁商店,http://www.super-landing.com/,介紹頁、購物網站,一頁式電商,
Shop123,https://www.shop123.com.tw/,介紹頁、購物網站,,
Google 協作平台,https://gsuite.google.com/products/sites/,,不太算是公司官網，但還是有一些組織用這個當資訊官網,
萬網,https://wanwang.aliyun.com/,,阿里巴巴集團相關品牌，在中國大陸的台商客戶不妨一看,
起飛頁,http://www.qifeiye.com/,,乍看之下滿漂亮的，在中國大陸的台商客戶不妨一看,
Joomla,https://www.joomla.com/,,知名開源架站平台,
Drupal,https://drupal.org,,知名開源架站平台,